getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "kc.debug""
Timestamp               Ty Process[PID:TID]
2026-09-08 16:27:52.236 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] willAppear h=335.0 dur=383 prev=0.0
2026-09-08 16:27:52.306 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=855.8061956949532 windowH=874.0 -> position=18.193804305046797 presentation=set
2026-09-08 16:27:52.306 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=18.193804305046797 prev=0.0 kbH=335.0 frameY=855.8061956949532 anim=set from=0.0 to=335.0 inc=true fin=false last=0.0
2026-09-08 16:27:52.306 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=56.88326412772926 progress=0.16980078844098287
2026-09-08 16:27:52.333 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=783.3873806297779 windowH=874.0 -> position=90.61261937022209 presentation=set
2026-09-08 16:27:52.333 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=90.61261937022209 prev=18.193804305046797 kbH=335.0 frameY=783.3873806297779 anim=set from=0.0 to=335.0 inc=true fin=false last=56.88326412772926
2026-09-08 16:27:52.333 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=134.9802261393854 progress=0.40292604817726985
2026-09-08 16:27:52.350 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=736.104667276144 windowH=874.0 -> position=137.89533272385597 presentation=set
2026-09-08 16:27:52.350 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=137.89533272385597 prev=90.61261937022209 kbH=335.0 frameY=736.104667276144 anim=set from=0.0 to=335.0 inc=true fin=false last=134.9802261393854
2026-09-08 16:27:52.350 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=177.72238859073846 progress=0.5305145928081745
2026-09-08 16:27:52.366 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=693.8425263166428 windowH=874.0 -> position=180.15747368335724 presentation=set
2026-09-08 16:27:52.366 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=180.15747368335724 prev=137.89533272385597 kbH=335.0 frameY=693.8425263166428 anim=set from=0.0 to=335.0 inc=true fin=false last=177.72238859073846
2026-09-08 16:27:52.366 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=213.74569477739618 progress=0.6380468500817796
2026-09-08 16:27:52.383 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=658.2157340049744 windowH=874.0 -> position=215.78426599502563 presentation=set
2026-09-08 16:27:52.383 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=215.78426599502563 prev=180.15747368335724 kbH=335.0 frameY=658.2157340049744 anim=set from=0.0 to=335.0 inc=true fin=false last=213.74569477739618
